data_somministrazione;area;totale;sesso_maschile;sesso_femminile;prima_dose;seconda_dose;pregressa_infezione;dose_aggiuntiva;codice_NUTS1;codice_NUTS2;codice_regione_ISTAT;nome_area;Latitudine;Longitudine;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;casi_testati
2021-01-01;SAR;34;17;17;34;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;479;42;521;16158;16679;226;365;14048;751;31478;485824;407806
2021-01-01;PIE;1042;397;645;1041;0;1;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2784;184;2968;23561;26529;-1728;1058;164397;7960;198886;1688316;987563
2021-01-01;LAZ;3612;1402;2210;3572;0;40;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2752;305;3057;73304;76361;1188;1913;84811;3792;164964;2721083;2052446
2021-01-01;LIG;146;56;90;146;0;0;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;664;63;727;4870;5597;-23;412;52386;2898;60881;714541;324246
2021-01-01;PAT;222;51;171;222;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;362;39;401;1498;1899;37;193;19182;952;22033;453381;151838
2021-01-01;PUG;150;61;89;150;0;0;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1476;137;1613;52300;53913;911;1395;35965;2481;92359;1051359;655493
2021-01-01;PAB;6;5;1;6;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;159;27;186;10607;10793;124;270;18229;742;29764;363649;163276
2021-01-02;LIG;693;247;446;693;0;0;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;674;66;740;4962;5702;105;203;52475;2907;61084;715806;324658
2021-01-02;TOS;3548;1127;2421;3504;0;44;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;825;139;964;9057;10021;185;498;107674;3720;121415;1898439;1066811
2021-01-02;PUG;2958;1306;1652;2958;0;0;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1503;139;1642;52170;53812;-101;344;36400;2491;92703;1053380;657470
2021-01-02;MAR;458;143;315;456;0;2;0;ITI;ITI3;11;Marche;43.61675973;13.5188753;479;65;544;11243;11787;48;285;29221;1594;42602;539624;319908
2021-01-02;ABR;559;226;333;558;0;1;0;ITF;ITF1;13;Abruzzo;42.35122196;13.39843823;443;37;480;10771;11251;-122;23;23266;1229;35746;520091;271089
2021-01-02;VDA;6;5;1;6;0;0;0;ITC;ITC2;2;Valle d'Aosta / Vallée d'Aoste;45.73750286;7.320149366;76;2;78;335;413;5;7;6501;383;7297;63032;37893
2021-01-02;PIE;3553;1134;2419;3552;0;1;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2777;182;2959;21238;24197;-2332;433;167151;7971;199319;1690587;988567
2021-01-02;PAT;522;149;373;522;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;369;41;410;1572;1982;83;116;19209;958;22149;453960;151962
2021-01-02;PAB;91;48;43;91;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;176;24;200;10638;10838;45;86;18266;746;29850;364372;163511
2021-01-02;EMR;2379;917;1462;2379;0;0;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2649;229;2878;55628;58506;1719;2035;109818;7846;176170;2588793;1234681
2021-01-02;FVG;1219;471;748;1219;0;0;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;652;63;715;11132;11847;94;359;37567;1687;51101;942810;343713
2021-01-02;VEN;5742;1767;3975;5741;0;1;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2668;372;3040;91081;94121;1539;3165;161049;6675;261845;3334350;1224449
2021-01-02;UMB;304;111;193;304;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;270;47;317;3476;3793;-11;50;24817;628;29238;506539;253466
2021-01-02;CAM;3672;1963;1709;3614;0;58;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1355;99;1454;76561;78015;-313;392;110891;2893;191799;2059031;1377433
2021-01-02;CAL;166;94;72;166;0;0;0;ITF;ITF6;18;Calabria;38.90597598;16.59440194;234;19;253;8563;8816;-47;175;15142;482;24440;443632;424698
2021-01-02;BAS;958;383;575;957;0;1;0;ITF;ITF5;17;Basilicata;40.63947052;15.80514834;93;3;96;6046;6142;1;39;4618;261;11021;185449;118458
2021-01-02;SAR;61;22;39;61;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;479;41;520;16152;16672;-7;189;14240;755;31667;487320;409015
2021-01-02;LOM;202;74;128;202;0;0;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3293;491;3784;52226;56010;698;1402;402070;25281;483361;4896792;2621183
2021-01-02;SIC;4892;2548;2344;4856;0;36;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1090;186;1276;33674;34950;603;734;58082;2468;95500;1231722;820100
2021-01-02;LAZ;6854;2687;4167;6774;0;80;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2792;315;3107;73341;76448;87;1275;85975;3816;166239;2730769;2056450
2021-01-03;ABR;501;212;289;499;0;2;0;ITF;ITF1;13;Abruzzo;42.35122196;13.39843823;445;41;486;10937;11423;172;207;23299;1231;35953;522168;271920
